Wrestler ID,Division ID,School ID,Season,Weight,Place,Ordinal
382,4,166,1983,167,1,1st
383,1,207,1980,167,5,5th
385,1,12,1980,167,7,7th
385,1,12,1981,167,5,5th
386,1,121,1980,167,8,8th
386,5,121,1980,167,2,2nd
387,1,121,1980,177,1,1st
387,1,121,1981,177,1,1st
387,1,121,1982,177,2,2nd
387,1,121,1983,190,1,1st
387,5,121,1980,177,1,1st
387,5,121,1981,177,1,1st
387,5,121,1982,177,1,1st
387,5,121,1983,190,1,1st
388,1,122,1979,177,3,3rd
388,1,122,1980,177,2,2nd
388,6,122,1977,177,2,2nd
388,6,122,1979,177,3,3rd
388,6,122,1980,177,1,1st
388,6,122,1981,177,1,1st
389,1,134,1980,177,3,3rd
389,1,134,1981,177,3,3rd
389,1,134,1982,190,3,3rd
389,4,134,1978,167,1,1st
389,4,134,1980,177,1,1st
389,4,134,1981,177,1,1st
389,4,134,1982,190,1,1st
390,1,56,1980,177,4,4th
390,1,56,1981,177,2,2nd
390,1,56,1982,177,3,3rd
391,1,151,1978,177,6,6th
391,1,151,1980,177,5,5th
391,5,151,1978,177,3,3rd
391,5,151,1979,190,2,2nd
391,5,151,1980,177,3,3rd
392,1,245,1980,177,6,6th
393,1,193,1980,177,7,7th
393,6,193,1979,177,2,2nd
393,6,193,1980,177,2,2nd
394,1,9,1979,177,5,5th
394,1,9,1980,177,8,8th
395,1,57,1980,190,1,1st
396,1,9,1980,190,2,2nd
396,1,9,1981,UNL,4,4th
397,1,208,1980,190,3,3rd
398,1,122,1979,190,7,7th
